ERROR: BRAM accum_buff[12]: 0 != 1 at rho = -1086 (rho index = 93), theta = 172.
ERROR: BRAM accum_buff[13]: 0 != 2 at rho = -1086 (rho index = 93), theta = 173.
ERROR: BRAM accum_buff[14]: 1 != 2 at rho = -1086 (rho index = 93), theta = 174.
ERROR: BRAM accum_buff[15]: 0 != 2 at rho = -1086 (rho index = 93), theta = 175.
ERROR: BRAM accum_buff[0]: 0 != 2 at rho = -1086 (rho index = 93), theta = 176.
ERROR: BRAM accum_buff[1]: 1 != 3 at rho = -1086 (rho index = 93), theta = 177.
ERROR: BRAM accum_buff[2]: 0 != 2 at rho = -1086 (rho index = 93), theta = 178.
ERROR: BRAM accum_buff[3]: 1 != 3 at rho = -1086 (rho index = 93), theta = 179.
ERROR: BRAM accum_buff[6]: 0 != 1 at rho = -1085 (rho index = 94), theta = 166.
ERROR: BRAM accum_buff[7]: 0 != 1 at rho = -1085 (rho index = 94), theta = 167.
ERROR: BRAM accum_buff[12]: 0 != 1 at rho = -1085 (rho index = 94), theta = 172.
ERROR: BRAM accum_buff[13]: 1 != 2 at rho = -1085 (rho index = 94), theta = 173.
ERROR: BRAM accum_buff[14]: 0 != 2 at rho = -1085 (rho index = 94), theta = 174.
ERROR: BRAM accum_buff[15]: 0 != 2 at rho = -1085 (rho index = 94), theta = 175.
ERROR: BRAM accum_buff[0]: 1 != 3 at rho = -1085 (rho index = 94), theta = 176.
ERROR: BRAM accum_buff[1]: 0 != 2 at rho = -1085 (rho index = 94), theta = 177.
ERROR: BRAM accum_buff[2]: 1 != 3 at rho = -1085 (rho index = 94), theta = 178.
ERROR: BRAM accum_buff[3]: 0 != 2 at rho = -1085 (rho index = 94), theta = 179.
ERROR: BRAM accum_buff[6]: 0 != 1 at rho = -1084 (rho index = 95), theta = 166.
ERROR: BRAM accum_buff[12]: 0 != 1 at rho = -1084 (rho index = 95), theta = 172.
ERROR: BRAM accum_buff[13]: 0 != 2 at rho = -1084 (rho index = 95), theta = 173.
ERROR: BRAM accum_buff[14]: 2 != 4 at rho = -1084 (rho index = 95), theta = 174.
ERROR: BRAM accum_buff[15]: 1 != 3 at rho = -1084 (rho index = 95), theta = 175.
ERROR: BRAM accum_buff[0]: 0 != 2 at rho = -1084 (rho index = 95), theta = 176.
ERROR: BRAM accum_buff[1]: 1 != 3 at rho = -1084 (rho index = 95), theta = 177.
ERROR: BRAM accum_buff[2]: 0 != 2 at rho = -1084 (rho index = 95), theta = 178.
ERROR: BRAM accum_buff[3]: 2 != 3 at rho = -1084 (rho index = 95), theta = 179.
ERROR: BRAM accum_buff[6]: 1 != 2 at rho = -1083 (rho index = 96), theta = 166.
ERROR: BRAM accum_buff[10]: 0 != 1 at rho = -1083 (rho index = 96), theta = 170.
ERROR: BRAM accum_buff[11]: 0 != 1 at rho = -1083 (rho index = 96), theta = 171.
ERROR: BRAM accum_buff[12]: 0 != 1 at rho = -1083 (rho index = 96), theta = 172.
ERROR: BRAM accum_buff[13]: 2 != 4 at rho = -1083 (rho index = 96), theta = 173.
ERROR: BRAM accum_buff[14]: 0 != 2 at rho = -1083 (rho index = 96), theta = 174.
ERROR: BRAM accum_buff[15]: 0 != 2 at rho = -1083 (rho index = 96), theta = 175.
ERROR: BRAM accum_buff[0]: 1 != 3 at rho = -1083 (rho index = 96), theta = 176.
ERROR: BRAM accum_buff[1]: 0 != 2 at rho = -1083 (rho index = 96), theta = 177.
ERROR: BRAM accum_buff[2]: 2 != 3 at rho = -1083 (rho index = 96), theta = 178.
ERROR: BRAM accum_buff[3]: 1 != 3 at rho = -1083 (rho index = 96), theta = 179.
ERROR: BRAM accum_buff[5]: 0 != 1 at rho = -1082 (rho index = 97), theta = 165.
ERROR: BRAM accum_buff[12]: 0 != 1 at rho = -1082 (rho index = 97), theta = 172.
ERROR: BRAM accum_buff[13]: 0 != 2 at rho = -1082 (rho index = 97), theta = 173.
ERROR: BRAM accum_buff[14]: 1 != 3 at rho = -1082 (rho index = 97), theta = 174.
ERROR: BRAM accum_buff[15]: 1 != 3 at rho = -1082 (rho index = 97), theta = 175.
ERROR: BRAM accum_buff[0]: 1 != 2 at rho = -1082 (rho index = 97), theta = 176.
ERROR: BRAM accum_buff[1]: 2 != 3 at rho = -1082 (rho index = 97), theta = 177.
ERROR: BRAM accum_buff[2]: 1 != 3 at rho = -1082 (rho index = 97), theta = 178.
ERROR: BRAM accum_buff[3]: 0 != 2 at rho = -1082 (rho index = 97), theta = 179.
ERROR: BRAM accum_buff[5]: 0 != 1 at rho = -1081 (rho index = 98), theta = 165.
ERROR: BRAM accum_buff[6]: 0 != 1 at rho = -1081 (rho index = 98), theta = 166.
ERROR: BRAM accum_buff[10]: 0 != 1 at rho = -1081 (rho index = 98), theta = 170.
ERROR: BRAM accum_buff[11]: 0 != 1 at rho = -1081 (rho index = 98), theta = 171.
ERROR: BRAM accum_buff[12]: 0 != 2 at rho = -1081 (rho index = 98), theta = 172.
ERROR: BRAM accum_buff[13]: 1 != 3 at rho = -1081 (rho index = 98), theta = 173.
ERROR: BRAM accum_buff[14]: 0 != 2 at rho = -1081 (rho index = 98), theta = 174.
ERROR: BRAM accum_buff[15]: 1 != 2 at rho = -1081 (rho index = 98), theta = 175.
ERROR: BRAM accum_buff[0]: 1 != 3 at rho = -1081 (rho index = 98), theta = 176.
ERROR: BRAM accum_buff[1]: 1 != 3 at rho = -1081 (rho index = 98), theta = 177.
ERROR: BRAM accum_buff[2]: 0 != 2 at rho = -1081 (rho index = 98), theta = 178.
ERROR: BRAM accum_buff[3]: 1 != 3 at rho = -1081 (rho index = 98), theta = 179.
ERROR: BRAM accum_buff[5]: 0 != 1 at rho = -1080 (rho index = 99), theta = 165.
ERROR: BRAM accum_buff[6]: 0 != 1 at rho = -1080 (rho index = 99), theta = 166.
ERROR: BRAM accum_buff[10]: 0 != 1 at rho = -1080 (rho index = 99), theta = 170.
ERROR: BRAM accum_buff[11]: 0 != 1 at rho = -1080 (rho index = 99), theta = 171.
ERROR: BRAM accum_buff[12]: 1 != 3 at rho = -1080 (rho index = 99), theta = 172.
